ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
MUS,Mauritius,Very High,SSA,63.0,82.0,0.775,74.368,14.77875042,8.738007894,18870.83772,0.947,0.748564398,0.79062643,0.646,16.47139895,16.64516129,9.320232391,21.91298205,18.18098242,0.379,-1.0784148897606003,0.3334201681277058,Africa,1272140
MWI,Malawi,Low,SSA,169.0,142.0,0.47,58.6786,11.1173968,4.039796303,1356.039974,0.926,0.450486146,0.486489696,0.333,29.06299207,29.14893617,29.30689621,30.20141,27.68067,0.585,3.4945005944932355,-0.3069758511822538,Africa,19211425
MYS,Malaysia,Very High,EAP,62.0,57.0,0.78,74.944,13.00349998,9.920810064,21302.85562,0.97,0.765860256,0.789740626,0.5621510791366907,20.304142475244607,20.75931192845324,6.035086155,15.55704832,24.059114932170065,0.275,-1.269392585807653,-0.1355561282229878,Asia,32436963
NAM,Namibia,Medium,SSA,139.0,111.0,0.601,57.64,11.73571646,6.634349301,9268.750223,0.995,0.598493291,0.601404426,0.335,40.00612855,44.25956739,23.91638565,27.765,68.337,0.492,2.6243340875041987,-4.59251027868574,Africa,2548663
NER,Niger,Low,SSA,189.0,153.0,0.354,59.6498,5.214409828,1.639770031,1122.285381,0.795,0.31282586,0.393413589,0.251,28.41259597,29.0960452,36.22773361,34.96483,14.0452243,0.669,5.388452807803196,1.7914034674806858,Africa,24346468
NGA,Nigeria,Low,SSA,163.0,168.0,0.499,51.4973,8.861738897,5.713917096,4848.225457,0.86,0.460429062,0.53568827,0.306,37.931105,38.67735471,43.31161499,45.243,25.2387,0.677,4.765625470321607,0.4349340681156454,Africa,206984347
NIC,Nicaragua,Medium,LAC,126.0,102.0,0.629,72.6148,11.25986475,6.272,4901.973689,0.969,0.615207763,0.635024485,0.478,23.68037045,24.0063593,13.27047634,29.49004,28.280595,0.455,1.234434749207161,-0.6460627279670689,North America,6638075
NLD,Netherlands,Very High,,10.0,5.0,0.927,81.0495,17.82703972,12.02159977,52495.66202,0.966,0.909703614,0.941643367,0.867,6.420773067,6.472491909,3.630029202,4.05123,11.58106,0.046,-4.348352229466331,0.6803733973803214,Europe,17141544
NOR,Norway,Very High,,2.0,2.0,0.946,81.4437,17.47475052,12.64209366,68432.67946,0.997,0.94253409,0.945149335,0.896,5.199958667,5.285412262,3.051476002,2.32217,10.22623,0.054,-4.89423991906633,1.116465608249396,Europe,5428594
NPL,Nepal,Medium,SA,143.0,113.0,0.561,67.47,12.53003502,3.765092035,2942.388751,0.918,0.538365807,0.586262327,0.411,25.76953653,26.73796791,20.80340958,41.37719,15.12801,0.505,2.424167326066053,1.3931188747317702,Asia,29225196
NRU,Nauru,,EAP,95.81151832460732,85.37647058823529,0.6994157894736842,60.7152,10.29004914,8.266224938936842,7838.00379,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,18.51724815,19.47365799370064,24.059114932170065,0.3875029940119761,1.0825170144160452,0.6454861178191857,Oceania,10836
NZL,New Zealand,Very High,,13.0,25.0,0.924,81.2089,18.72700747,13.37806988,35441.88481,0.973,0.909866116,0.935172682,0.848,8.007376304,8.225108225,4.318346977,1.809828984,17.89395295,0.155,-4.211176276484736,-0.3537568449074082,Oceania,4829021
